,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%,Table,Rk,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr,ANA,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MTL,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SEA,SJS,STL,TBL,TOR,VAN,VEG,WPG,WSH
Edmonton Oilers,,,,,,,,,,,,,,,Team vs. Team,12,,,,,,,,,,,,,,,,,,,,,4-0-0,1-1-1,1-0-1,1-0-1,1-1-0,1-1-0,3-1-0,3-0-0,1-1-1,1-2-0,2-0-0,,0-2-0,3-1-0,1-2-0,2-0-0,2-0-0,2-1-0,1-1-0,1-1-0,1-1-0,1-1-0,2-0-0,4-0-0,2-1-0,1-1-1,0-2-0,1-1-0,0-4-0,2-1-0,2-0-1,2-0-0
Florida Panthers,,,,,,,,,,,,,,,Team vs. Team,13,,,,,,,,,,,,,,,,,,,,,1-0-1,2-0-0,0-2-2,3-0-0,1-2-0,3-0-0,1-1-0,1-1-0,2-0-0,2-0-0,3-0-1,2-0-0,,1-1-0,0-2-0,3-1-0,2-1-0,1-1-0,1-2-0,2-0-1,4-0-0,1-2-0,3-0-0,1-1-0,2-0-0,1-1-0,2-1-0,2-1-1,0-2-0,2-0-0,0-2-0,3-0-0
Los Angeles Kings,,,,,,,,,,,,,,,Team vs. Team,14,,,,,,,,,,,,,,,,,,,,,3-1-0,3-0-0,1-1-0,0-2-0,1-0-1,2-0-0,2-2-0,3-0-0,1-2-0,0-3-0,0-1-1,1-2-1,1-0-1,,2-1-0,2-0-0,2-0-0,1-2-0,1-0-1,1-1-0,2-0-0,1-1-0,1-0-1,2-1-0,3-0-1,1-1-1,1-0-1,1-1-0,3-0-1,1-1-1,1-2-0,0-2-0
Minnesota Wild,,,,,,,,,,,,,,,Team vs. Team,15,,,,,,,,,,,,,,,,,,,,,2-1-0,3-1-0,2-0-0,0-1-1,1-1-0,1-0-1,2-1-0,3-0-0,0-3-1,0-3-0,1-1-0,2-1-0,2-0-0,1-2-0,,2-0-0,0-2-0,2-2-0,2-0-0,1-1-0,1-0-1,0-1-1,1-1-0,2-1-0,3-0-0,1-1-2,0-2-0,0-1-1,2-1-0,1-2-0,0-4-0,1-0-1
Montreal Canadiens,,,,,,,,,,,,,,,Team vs. Team,16,,,,,,,,,,,,,,,,,,,,,2-0-0,1-1-0,1-2-1,2-2-0,0-3-0,3-0-0,0-2-0,2-0-0,2-0-0,1-1-0,1-0-3,0-0-2,1-2-1,0-2-0,0-1-1,,1-2-0,1-1-0,2-0-1,1-2-0,0-2-1,2-0-1,0-1-2,2-0-0,1-1-0,0-2-0,0-3-1,0-2-1,0-2-0,0-1-1,2-0-0,2-1-0
New Jersey Devils,,,,,,,,,,,,,,,Team vs. Team,17,,,,,,,,,,,,,,,,,,,,,0-2-0,0-1-1,1-2-0,2-1-0,0-2-1,3-1-0,1-1-0,2-0-0,1-1-0,1-1-0,2-1-0,0-2-0,1-2-0,0-2-0,2-0-0,2-1-0,,1-0-1,3-1-0,0-4-0,2-1-0,2-1-1,2-1-0,2-0-0,1-1-0,1-1-0,0-2-1,2-1-0,1-1-0,1-1-0,1-1-0,1-3-0
Nashville Predators,,,,,,,,,,,,,,,Team vs. Team,18,,,,,,,,,,,,,,,,,,,,,1-2-0,1-3-0,0-2-0,2-0-0,1-1-0,2-0-0,1-2-0,4-0-0,2-1-0,2-2-0,1-0-1,1-2-0,1-1-0,2-1-0,2-1-1,1-0-1,1-1-0,,1-1-0,1-1-0,1-0-1,2-0-0,1-1-0,2-1-0,3-0-0,3-0-0,1-1-0,1-1-0,0-3-0,2-1-0,2-1-1,2-0-0
New York Islanders,,,,,,,,,,,,,,,Team vs. Team,19,,,,,,,,,,,,,,,,,,,,,2-0-0,2-0-0,1-1-1,1-2-0,2-1-1,3-0-0,1-1-0,1-0-1,0-1-1,2-0-0,1-1-1,1-1-0,2-0-1,1-1-0,0-2-0,1-2-0,1-2-1,1-1-0,,1-1-2,2-0-1,2-0-1,2-2-0,0-0-2,1-0-1,1-1-0,1-2-0,3-0-0,0-1-1,0-2-0,1-1-0,2-1-1
New York Rangers,,,,,,,,,,,,,,,Team vs. Team,20,,,,,,,,,,,,,,,,,,,,,2-0-0,2-0-0,3-0-0,2-1-0,2-1-0,2-2-0,2-0-0,2-0-0,2-0-0,1-1-0,3-0-0,1-1-0,1-2-0,1-1-0,1-0-1,2-0-1,4-0-0,1-1-0,3-1-0,,2-1-0,3-1-0,2-1-0,2-0-0,1-0-1,1-1-0,2-1-0,1-1-1,1-1-0,0-2-0,1-1-0,2-2-0
Ottawa Senators,,,,,,,,,,,,,,,Team vs. Team,21,,,,,,,,,,,,,,,,,,,,,0-2-0,0-2-0,1-1-1,2-2-0,0-3-0,2-1-0,1-1-0,1-1-0,0-2-0,1-1-0,3-1-0,1-1-0,0-3-1,0-1-1,1-1-0,3-0-0,1-2-0,1-1-0,1-2-0,1-2-0,,2-1-0,3-0-0,1-1-0,1-1-0,0-2-0,3-1-0,3-1-0,0-2-0,1-1-0,1-0-1,2-1-0
Philadelphia Flyers,,,,,,,,,,,,,,,Team vs. Team,22,,,,,,,,,,,,,,,,,,,,,1-1-0,2-0-0,1-2-0,1-2-0,1-2-1,2-1-1,1-1-0,1-1-0,1-1-0,1-0-1,1-1-1,1-1-0,2-1-0,1-1-0,2-0-0,1-2-0,2-1-1,0-1-1,1-1-1,1-2-1,1-2-0,,2-2-0,1-0-1,1-1-0,1-0-1,1-2-0,1-1-1,2-0-0,1-1-0,2-0-0,1-2-0
Pittsburgh Penguins,,,,,,,,,,,,,,,Team vs. Team,23,,,,,,,,,,,,,,,,,,,,,1-1-0,1-1-0,1-2-0,1-2-0,2-1-1,3-0-1,1-1-0,1-1-0,1-0-1,0-2-0,2-1-0,0-2-0,0-2-1,1-1-0,1-1-0,3-0-0,1-2-0,1-0-1,2-1-1,1-2-0,0-1-2,2-0-2,,1-1-0,2-0-0,1-1-0,2-1-0,1-1-1,1-0-1,1-1-0,1-1-0,2-2-0
Seattle Kraken,,,,,,,,,,,,,,,Team vs. Team,24,,,,,,,,,,,,,,,,,,,,,4-0-0,1-0-2,2-0-0,1-1-0,1-0-1,2-0-0,2-1-1,2-1-0,1-2-0,0-2-1,1-0-1,0-3-1,1-1-0,1-1-1,1-2-0,0-2-0,0-2-0,1-2-0,2-0-0,0-2-0,1-1-0,1-1-0,1-1-0,,2-2-0,0-1-2,1-0-1,0-1-1,2-1-0,1-2-1,1-2-0,1-1-0
San Jose Sharks,,,,,,,,,,,,,,,Team vs. Team,25,,,,,,,,,,,,,,,,,,,,,1-2-1,0-3-0,0-2-0,0-2-0,0-2-0,0-2-0,1-1-1,0-1-2,0-2-1,0-1-2,1-1-0,1-2-0,0-2-0,1-3-0,0-3-0,1-0-1,1-1-0,0-3-0,1-1-0,1-1-0,1-1-0,1-1-0,0-2-0,2-2-0,,3-0-0,0-2-0,0-2-0,1-3-0,0-3-1,1-2-0,1-1-0
St. Louis Blues,,,,,,,,,,,,,,,Team vs. Team,26,,,,,,,,,,,,,,,,,,,,,3-0-0,2-2-0,1-0-1,2-0-0,1-1-0,0-2-0,3-0-0,3-1-0,1-3-0,2-0-2,0-2-0,2-0-1,1-1-0,2-1-0,3-1-0,2-0-0,1-1-0,0-3-0,1-1-0,1-1-0,2-0-0,1-1-0,1-1-0,3-0-0,0-2-1,,1-1-0,0-2-0,2-1-0,1-1-1,0-3-0,1-1-0
Tampa Bay Lightning,,,,,,,,,,,,,,,Team vs. Team,27,,,,,,,,,,,,,,,,,,,,,2-0-0,1-1-0,3-1-0,1-1-2,2-1-0,2-1-0,0-2-0,1-1-0,1-1-0,1-1-0,0-3-0,2-0-0,1-2-0,1-0-1,2-0-0,4-0-0,3-0-0,1-1-0,2-1-0,1-2-0,1-2-1,2-1-0,1-2-0,1-0-1,2-0-0,1-1-0,,2-0-2,1-1-0,2-0-0,0-1-1,1-2-0
Toronto Maple Leafs,,,,,,,,,,,,,,,Team vs. Team,28,,,,,,,,,,,,,,,,,,,,,2-0-0,2-0-0,0-2-2,2-2-0,0-2-1,1-0-2,2-0-0,0-1-1,1-1-0,2-0-0,1-1-1,1-1-0,2-2-0,1-1-0,2-0-0,3-0-0,1-2-0,1-0-1,0-1-2,2-1-0,1-3-0,2-1-0,2-1-0,2-0-0,2-0-0,2-0-0,2-2-0,,1-1-0,1-1-0,2-0-0,3-0-0
Vancouver Canucks,,,,,,,,,,,,,,,Team vs. Team,29,,,,,,,,,,,,,,,,,,,,,3-0-0,2-0-1,1-1-0,2-0-0,2-0-0,1-0-1,3-1-0,3-0-0,0-2-1,1-1-1,1-0-1,4-0-0,2-0-0,1-3-0,1-1-1,2-0-0,1-1-0,3-0-0,2-0-0,1-0-1,2-0-0,0-2-0,1-0-1,1-2-0,3-1-0,1-1-1,1-1-0,1-1-0,,2-2-0,1-2-0,1-1-0
Vegas Golden Knights,,,,,,,,,,,,,,,Team vs. Team,30,,,,,,,,,,,,,,,,,,,,,1-3-0,1-2-0,1-1-0,0-2-0,0-2-0,1-1-0,1-2-1,2-0-1,2-1-0,3-0-0,1-1-0,1-1-1,0-2-0,2-1-0,2-1-0,2-0-0,1-0-1,1-1-1,2-0-0,2-0-0,1-0-1,1-0-1,1-1-0,3-1-0,4-0-0,2-0-1,0-2-0,1-1-0,2-2-0,,3-0-0,1-1-0
Winnipeg Jets,,,,,,,,,,,,,,,Team vs. Team,31,,,,,,,,,,,,,,,,,,,,,3-0-0,4-0-0,1-1-0,2-0-0,2-0-0,2-0-0,1-2-0,3-0-1,3-0-0,1-3-0,2-0-0,1-1-1,2-0-0,2-1-0,4-0-0,0-0-2,1-1-0,2-2-0,1-1-0,1-0-1,1-1-0,0-2-0,1-1-0,2-1-0,2-1-0,3-0-0,2-0-0,0-1-1,2-1-0,0-3-0,,1-1-0
Washington Capitals,,,,,,,,,,,,,,,Team vs. Team,32,,,,,,,,,,,,,,,,,,,,,2-0-0,0-2-0,2-0-1,1-2-0,2-2-0,3-0-0,2-0-0,2-0-0,0-2-0,0-0-2,2-1-0,0-2-0,0-1-2,2-0-0,1-1-0,1-1-1,3-1-0,0-1-1,2-2-0,2-2-0,1-1-1,2-0-1,2-2-0,1-1-0,1-1-0,1-1-0,2-0-1,0-3-0,1-0-1,1-1-0,1-1-0,
